1;1;A. 
2;2;Cómo. 
3;3;Palabras. 
4;4;No. 
5;5;En. 
6;6;Debería. 
7;7;De. 
8;8;Encanta. 
9;9;Para. 
10;10;Debes. 
11;11;Por. 
12;12;Su. 
13;13;Ven. 
14;14;Muy. 
15;15;Tener. 
16;16;Papá. 
17;17;Señor. 
18;18;Un. 
19;19;Cómo. 
20;20;Que. 
21;21;Es. 
22;22;No. 
23;23;En. 
24;24;A. 
25;25;Te. 
26;26;A. 
27;27;Nos. 
28;28;De. 
29;29;Un. 
30;30;Que. 
31;31;Les. 
32;32;De. 
33;33;Los. 
34;34;Muy. 
35;35;Te. 
36;36;Aqui. 
37;37;De. 
38;38;Como. 
39;39;Que. 
40;40;Sabes. 
41;41;Manos. 
42;42;En. 
43;43;Que. 
44;44;Con. 
45;45;De. 
46;46;Una. 
47;47;Haber. 
48;48;Hospital. 
49;49;Un. 
50;50;Claro. 
51;51;Era. 
52;52;Además. 
53;53;A. 
54;54;Ustedes. 
55;55;Dinero. 
56;56;Que. 
57;57;Hablar. 
58;58;Puedes. 
59;59;Deja. 
60;60;Palabras. 
61;61;De. 
62;62;Al. 
63;63;Fue. 
64;64;Lo. 
65;65;Se. 
66;66;Que. 
67;67;Mamá. 
68;68;Tienes. 
69;69;De. 
70;70;Qué. 
71;71;Están. 
72;72;A. 
73;73;Qué. 
74;74;Alguien. 
75;75;Con. 
76;76;Pasó. 
77;77;Son. 
78;78;La. 
79;79;De. 
80;80;Pero. 
81;81;Y. 
82;82;Cuando. 
83;83;En. 
84;84;Porque. 
85;85;No. 
86;86;El. 
87;87;A. 
88;88;Puedes. 
89;89;Yo. 
90;90;No. 
91;91;Por. 
92;92;Quieres. 
93;93;De. 
94;94;Está. 
95;95;Cuando. 
96;96;Pero. 
97;97;Él. 
98;98;La. 
99;99;A. 
100;100;Para. 
101;101;Familia. 
102;102;Entonces. 
103;103;Ver. 
104;104;Queremos. 
105;105;Mi. 
106;106;De. 
107;107;Sucede. 
108;108;Dónde. 
109;109;Bien. 
110;110;Hasta. 
111;111;O. 
112;112;Un. 
113;113;El. 
114;114;Través. 
115;115;Que. 
116;116;De. 
117;117;Su. 
118;118;Mi. 
119;119;Seas. 
120;120;El. 
121;121;Como. 
122;122;No. 
123;123;Bajo. 
124;124;Veces. 
125;125;Su. 
126;126;Para. 
127;127;Se. 
128;128;Alguien. 
129;129;La. 
130;130;Dos. 
131;131;Que. 
132;132;Esta. 
133;133;Solo. 
134;134;En. 
135;135;Sólo. 
136;136;A. 
137;137;Sea. 
138;138;Que. 
139;139;Están. 
140;140;Te. 
141;141;Sí. 
142;142;Sus. 
143;143;Su. 
144;144;Al. 
145;145;La. 
146;146;Saber. 
147;147;No. 
148;148;Bien. 
149;149;Ven. 
150;150;No. 
151;151;Conmigo. 
152;152;Lo. 
153;153;Hombres. 
154;154;Para. 
155;155;Allí. 
156;156;Fin. 
157;157;El. 
158;158;Es. 
159;159;Trae. 
160;160;Nuestro. 
161;161;Tengo. 
162;162;Porqué. 
163;163;Ser. 
164;164;Un. 
165;165;Era. 
166;166;La. 
167;167;A. 
168;168;Tod.
169;169;Salvar. 
170;170;Que. 
171;171;Quien. 
172;172;No. 
173;173;Encontrar. 
174;174;Qué. 
175;175;La. 
176;176;Los. 
177;177;Como. 
178;178;Las. 
179;179;Esto. 
180;180;No. 
181;181;Un. 
182;182;Eres. 
183;183;A. 
184;184;No. 
185;185;Que. 
186;186;Qué. 
187;187;Del. 
188;188;Al. 
189;189;En. 
190;190;Está. 
191;191;Necesito. 
192;192;De. 
193;193;Yo. 
194;194;Y. 
195;195;Los. 
196;196;Se. 
197;197;Del. 
198;198;De. 
199;199;Carajo. 
200;200;La. 
201;201;De. 
202;202;Por. 
203;203;Me. 
204;204;Estoy. 
205;205;A. 
206;206;Las. 
207;207;De. 
208;208;Mal. 
209;209;Es. 
210;210;Nuevo. 
211;211;Le. 
212;212;Se. 
213;213;Agente. 
214;214;Le. 
215;215;La. 
216;216;Señor. 
217;217;Otra. 
218;218;Siquiera. 
219;219;Totalmente. 
220;220;Tienes. 
221;221;Se. 
222;222;Qué. 
223;223;Tengo. 
224;224;Que. 
225;225;De. 
226;226;Por. 
227;227;Su. 
228;228;El. 
229;229;Puedes. 
230;230;Tienes. 
231;231;Importa. 
232;232;Un. 
233;233;Las. 
234;234;La. 
235;235;Sé. 
236;236;Pues. 
237;237;Nos. 
238;238;A. 
239;239;El. 
240;240;Ser. 
241;241;Dile. 
242;242;El. 
243;243;Sé. 
244;244;Digo. 
245;245;Lo. 
246;246;De. 
247;247;Mundo. 
248;248;Que. 
249;249;Estamos. 
250;250;Soy. 
251;251;Mi. 
252;252;Haciendo. 
253;253;Y. 
254;254;Somos. 
255;255;Me. 
256;256;De. 
257;257;Haré. 
258;258;En. 
259;259;Alguna. 
260;260;Por. 
261;261;Sus. 
262;262;Que. 
263;263;Como. 
264;264;Poner. 
265;265;A. 
266;266;La. 
267;267;Importa. 
268;268;Hazlo. 
269;269;A. 
270;270;Bonito. 
271;271;Está. 
272;272;Un. 
273;273;Algún. 
274;274;Quienes. 
275;275;Me. 
276;276;De. 
277;277;Vete. 
278;278;Y. 
279;279;Buscando. 
280;280;Mira. 
281;281;Un. 
282;282;Hay. 
283;283;Juntos. 
284;284;Las. 
285;285;Tal. 
286;286;Par. 
287;287;Es. 
288;288;Las. 
289;289;El. 
290;290;Y. 
291;291;Nosotros. 
292;292;No. 
293;293;Pueda. 
294;294;O. 
295;295;Vengan. 
296;296;Buena. 
297;297;Los. 
298;298;Tu. 
299;299;A. 
300;300;Que. 
301;301;Una. 
302;302;Me. 
303;303;De. 
304;304;Por. 
305;305;Y. 
306;306;Tenemos. 
307;307;Que. 
308;308;Ahí. 
309;309;Un. 
310;310;Como. 
311;311;Para. 
312;312;Es. 
313;313;Hago. 
314;314;Bonito. 
315;315;Qué. 
316;316;Y. 
317;317;Sr. 
318;318;Vez. 
319;319;Las. 
320;320;De. 
321;321;Ni. 
322;322;Te. 
323;323;Qué. 
324;324;Esa. 
325;325;De. 
326;326;Durante. 
327;327;Un. 
328;328;Cómo. 
329;329;Mi. 
330;330;Con. 
331;331;Como. 
332;332;Y. 
333;333;A. 
334;334;Noche. 
335;335;Su. 
336;336;Te. 
337;337;Un. 
338;338;De. 
339;339;Por. 
340;340;La. 
341;341;Lo. 
342;342;Dije. 
343;343;Lo. 
344;344;Y. 
345;345;Tengo. 
346;346;Mira. 
347;347;Maldita. 
348;348;Viaje. 
349;349;Lo. 
350;350;Soy. 
